Benchmark,Base,Changed
2to3,0.447068,2.405002
call_method,0.276877,0.345693
call_method_slots,0.274336,0.340792
call_method_unknown,0.284908,0.384645
call_simple,0.211351,0.258323
chaos,0.232720,0.271953
django_v3,0.379254,0.468081
etree_generate,0.203659,0.230860
etree_iterparse,0.322837,0.345134
etree_parse,0.231545,0.230210
etree_process,0.164422,0.177243
fannkuch,0.964744,1.028282
fastpickle,0.367285,0.390253
fastunpickle,0.471698,0.514821
float,0.267812,0.251983
formatted_logging,0.282892,0.394385
go,0.440843,0.499083
json_dump_v2,2.120988,2.308846
json_load,0.372920,0.372437
mako_v2,0.029360,0.030558
meteor_contest,0.171198,0.168209
nbody,0.246009,0.214377
normal_startup,0.520905,9.441582
nqueens,0.188810,0.191177
pathlib,0.210946,0.225119
pickle_dict,0.324493,0.322630
pickle_list,0.218726,0.220427
pidigits,0.236649,0.236227
raytrace,1.046834,1.142848
regex_compile,0.260204,0.322876
regex_effbot,0.045243,0.045513
regex_v8,0.038070,0.038902
richards,0.130934,0.138996
silent_logging,0.060981,0.071124
simple_logging,0.246971,0.342824
spectral_norm,0.288022,0.277858
startup_nosite,0.337781,6.046993
telco,0.007546,0.007638
tornado_http,0.414877,0.478739
unpack_sequence,0.000037,0.000179
unpickle_list,0.370868,0.321671
