Benchmark,Base,Changed
2to3,12.115672,53.077635
call_method,0.478239,0.440329
call_method_slots,0.477080,0.437468
call_method_unknown,0.496415,0.447550
call_simple,0.411499,0.376116
chaos,0.529725,0.508128
django_v3,0.962259,1.973536
etree_generate,0.555797,0.878412
etree_iterparse,0.744044,2.469276
etree_parse,0.481645,0.486506
etree_process,0.455153,0.655453
fannkuch,2.086550,2.063978
fastpickle,0.835481,0.834509
fastunpickle,0.998298,1.003066
float,0.517170,0.478662
formatted_logging,0.736918,0.756467
go,0.967658,0.871361
json_dump_v2,4.751998,4.826383
json_load,0.764063,0.785226
mako_v2,0.072189,0.073789
meteor_contest,0.331122,0.306164
nbody,0.456943,0.461399
normal_startup,0.980611,1.041429
nqueens,0.456503,5.844960
pathlib,0.466209,0.505793
pickle_dict,0.653900,0.650485
pickle_list,0.450111,0.439026
pidigits,0.417503,0.433454
raytrace,2.400198,2.188586
regex_compile,0.610075,0.590271
regex_effbot,0.088083,0.087982
regex_v8,0.076496,0.076694
richards,0.279421,0.223735
silent_logging,0.122719,0.111339
simple_logging,0.646841,0.656252
spectral_norm,0.571884,0.343651
startup_nosite,0.614642,0.666916
telco,0.019350,0.019310
tornado_http,0.746220,0.789006
unpack_sequence,0.000080,0.000081
unpickle_list,0.618535,0.610952
