Benchmark,Base,Changed
2to3,12.342356,334.583629
call_method,0.489932,1.018983
call_method_slots,0.500812,1.014403
call_method_unknown,0.499555,1.686318
call_simple,0.412433,0.477337
chaos,0.526826,0.638008
django_v3,0.958868,7.305971
etree_generate,0.531633,3.110812
etree_iterparse,0.725201,12.410611
etree_parse,0.469335,0.509480
etree_process,0.446792,2.110003
fannkuch,2.225778,2.219514
fastpickle,0.789316,0.812318
fastunpickle,0.970981,0.981964
float,0.495348,0.586380
formatted_logging,0.727788,0.745749
go,0.967717,1.297788
json_dump_v2,4.728246,5.931067
json_load,0.741040,0.772750
mako_v2,0.068379,0.075004
meteor_contest,0.323812,0.373890
nbody,0.480030,0.480529
normal_startup,0.924916,1.038923
nqueens,0.456231,40.414209
pathlib,0.461617,0.477238
pickle_dict,0.637668,0.639221
pickle_list,0.429117,0.428214
pidigits,0.409860,0.445579
raytrace,2.384660,3.441256
regex_compile,0.605274,0.738788
regex_effbot,0.086446,0.087694
regex_v8,0.076342,0.076527
richards,0.283325,0.371891
silent_logging,0.121146,0.190932
simple_logging,0.641986,0.656115
spectral_norm,0.584597,0.707676
startup_nosite,0.610495,0.705637
telco,0.018169,0.018002
tornado_http,0.740326,0.766377
unpack_sequence,0.000080,0.000080
unpickle_list,0.629430,0.611556
